gene	conMean	treatMean	logFC	pValue	fdr
RMI2	1.335866572	3.498529909	2.162663337	2.25E-126	3.15E-124
GALNT16	1.752356882	0.632449468	-1.119907414	4.61E-91	4.16E-90
RP5-940J5.9	0.888619592	4.395947095	3.507327503	5.98E-70	2.80E-69
USP18	2.449857329	3.477978364	1.028121035	1.12E-74	6.00E-74
SOSTDC1	3.276661568	0.788192857	-2.488468711	9.43E-100	1.22E-98
PLEKHM1P	3.762066818	2.599967981	-1.162098837	4.19E-67	1.83E-66
CAPN3	4.583569333	2.35721496	-2.226354373	9.86E-100	1.27E-98
RAD54L	0.856347936	1.956004802	1.099656866	1.89E-74	1.00E-73
OGN	3.258194104	1.213866896	-2.044327208	5.97E-86	4.50E-85
PDE1C	2.302747651	0.669739328	-1.633008324	3.08E-110	7.29E-109
ANKRD1	4.153578208	0.879935104	-3.273643104	1.43E-108	2.99E-107
MCOLN2	2.962965102	1.664972182	-1.29799292	1.11E-73	5.78E-73
ARHGAP23	4.352432848	3.136602339	-1.215830509	7.02E-85	5.11E-84
PRG4	3.639592391	1.102527243	-2.537065148	6.37E-98	7.51E-97
S100A12	5.261224301	0.992484953	-4.268739347	7.34E-119	3.30E-117
POU6F1	3.488602595	2.046228028	-1.442374567	4.31E-105	7.26E-104
CSPG4	3.548812788	1.64421289	-1.904599898	1.66E-106	3.01E-105
NR2F1	5.053588768	3.393227013	-1.660361754	7.15E-97	8.08E-96
ZZEF1	3.892673488	2.641548804	-1.251124684	1.81E-103	2.78E-102
CCDC167	3.439932176	5.000991266	1.56105909	8.09E-108	1.61E-106
WIF1	4.25082289	2.057413032	-2.193409858	1.01E-54	3.26E-54
FGFR4	5.519275525	2.199906792	-3.319368733	4.14E-125	4.42E-123
TRIM25	4.809257005	3.382381728	-1.426875277	2.18E-104	3.54E-103
RPL7P1	3.999762348	5.288562858	1.28880051	9.19E-62	3.49E-61
C8orf76	3.426477233	4.481255661	1.054778428	2.59E-103	3.96E-102
DDR1	5.054321134	6.312951067	1.258629933	1.30E-90	1.16E-89
CDH6	2.206409423	1.02800362	-1.178405803	5.86E-87	4.57E-86
SPI1	6.225958117	4.701313516	-1.5246446	7.40E-91	6.65E-90
RP11-169F17.1	0.069571318	1.418260025	1.348688707	2.28E-44	5.89E-44
PDIA3	7.441019513	8.551806829	1.110787316	3.09E-95	3.25E-94
TIMP4	2.008937662	0.526471189	-1.482466473	2.74E-73	1.40E-72
RP11-343H5.4	2.192613042	0.365599619	-1.827013423	2.35E-42	5.80E-42
FTH1P7	3.344910507	4.649337593	1.304427086	2.16E-66	9.28E-66
ANXA3	6.389224859	4.842376497	-1.546848362	3.31E-81	2.17E-80
AC009005.2	1.024047963	2.116456259	1.092408296	2.55E-65	1.06E-64
NPIPB3	5.667488015	4.49327674	-1.174211275	1.23E-54	3.95E-54
SLA	4.66804488	3.258972799	-1.409072081	1.38E-86	1.06E-85
NPPA-AS1	2.191687242	0.838349115	-1.353338127	6.54E-80	4.12E-79
FGF10	1.431575442	0.209814626	-1.221760816	9.61E-123	6.71E-121
PRRT2	2.831238298	1.212736075	-1.618502223	6.23E-72	3.08E-71
TONSL	1.21286775	2.236522148	1.023654398	7.34E-80	4.62E-79
IL10RA	4.400291396	3.396781286	-1.00351011	6.53E-59	2.31E-58
TYK2	6.492044426	5.483785738	-1.008258688	5.68E-60	2.07E-59
BDH1	2.629985099	3.799230233	1.169245134	2.93E-61	1.10E-60
IGHV3-21	3.749758229	6.395184941	2.645426712	4.20E-62	1.61E-61
FXYD6	5.973765083	3.906368664	-2.067396419	1.05E-119	5.15E-118
TNFAIP8L3	3.176807807	1.405411225	-1.771396582	1.70E-118	7.40E-117
SPDEF	0.926487573	3.797549681	2.871062109	8.18E-106	1.43E-104
KIAA1324	1.900010511	3.70573932	1.805728808	3.55E-42	8.74E-42
GNG4	0.149142139	1.459812839	1.3106707	4.30E-86	3.26E-85
HOXB-AS3	2.980923391	1.84409965	-1.136823741	8.83E-74	4.59E-73
ADAMTSL4	5.660704251	3.145336951	-2.515367301	4.55E-123	3.30E-121
RARRES1	4.817746269	3.798201992	-1.019544277	2.65E-25	4.73E-25
CDO1	3.071818068	0.874030351	-2.197787717	4.77E-125	5.01E-123
NREP	3.550116847	4.738111615	1.187994769	7.10E-66	3.00E-65
MAFK	5.430025557	4.308399384	-1.121626173	5.60E-58	1.93E-57
RBMS2	4.728547152	3.297032229	-1.431514922	2.32E-122	1.50E-120
LSAMP	2.711262584	1.298008413	-1.413254171	2.10E-108	4.35E-107
AKAP17A	5.09099746	3.818713565	-1.272283895	1.94E-73	1.00E-72
SLC25A39	5.844621127	6.908318067	1.06369694	9.27E-100	1.20E-98
LRRC32	6.291168819	3.397754898	-2.893413921	2.03E-129	5.41E-127
BPIFA1	1.482537766	4.219552575	2.737014809	1.96E-37	4.39E-37
KRT6A	1.156656022	2.342528705	1.185872683	1.15E-06	1.40E-06
XDH	0.147092694	1.669458666	1.522365971	9.42E-121	5.07E-119
PRX	4.944869966	1.619121399	-3.325748567	3.54E-130	1.34E-127
STAT1	5.072738029	6.285340547	1.212602519	1.35E-70	6.45E-70
STRA6	0.399595224	2.136465245	1.73687002	1.52E-91	1.40E-90
ECE2	1.407605275	2.883810532	1.476205257	3.16E-103	4.81E-102
ADAMTS9-AS2	1.496305838	0.418014854	-1.078290984	5.53E-101	7.51E-100
NEK2	0.566741744	2.820836128	2.254094385	1.82E-122	1.22E-120
CTHRC1	2.424689377	5.421517443	2.996828066	3.96E-106	7.03E-105
GLT1D1	1.496732758	0.477003796	-1.019728962	3.52E-96	3.86E-95
RNF112	1.743647786	0.391431698	-1.352216088	5.45E-109	1.17E-107
RAN	7.547924367	8.562694998	1.014770631	5.38E-82	3.60E-81
FAM46B	3.397711245	1.526006262	-1.871704983	1.19E-94	1.21E-93
FNBP4	5.629752262	4.427846752	-1.201905511	3.63E-75	1.98E-74
FAM83H-AS1	1.965071965	3.864991127	1.899919162	9.60E-101	1.29E-99
TUBB3	1.149244048	4.32468957	3.175445522	2.66E-115	8.93E-114
Metazoa_SRP	4.53100647	6.857664209	2.326657739	6.06E-80	3.83E-79
TNFAIP3	5.091423254	3.67956106	-1.411862194	3.31E-71	1.61E-70
PBK	0.582043391	2.183188007	1.601144616	4.79E-99	5.97E-98
IGKV1-12	1.340018082	3.41477052	2.074752438	5.39E-57	1.81E-56
MARVELD3	1.472878774	3.056417604	1.58353883	1.31E-120	6.98E-119
TUBA1C	6.195600198	7.946687092	1.751086894	4.67E-105	7.85E-104
LCAT	4.955207877	2.48094122	-2.474266656	1.26E-107	2.48E-106
CHRNA5	0.468891901	2.131882345	1.662990444	1.21E-106	2.21E-105
FAM198A	2.009015475	0.72572296	-1.283292515	1.15E-101	1.62E-100
NRN1	3.630107702	2.09608425	-1.534023451	1.00E-87	8.07E-87
SLC14A1	1.650930003	0.613320068	-1.037609935	1.70E-72	8.52E-72
MMP11	0.849458021	4.600718473	3.751260451	2.52E-129	6.52E-127
NFASC	2.834182812	1.053769578	-1.780413234	2.33E-109	5.17E-108
MAP3K3	4.710683879	3.325987337	-1.384696542	4.90E-125	5.09E-123
CCDC85A	1.631920432	0.558010651	-1.073909781	3.68E-98	4.37E-97
NPNT	6.591576256	4.130550902	-2.461025354	1.37E-110	3.29E-109
ACAP1	4.410213187	3.211680239	-1.198532948	2.53E-50	7.36E-50
MYO9B	6.24373642	4.885085872	-1.358650548	3.17E-91	2.88E-90
MUC1	8.094227852	9.254489363	1.160261512	6.23E-32	1.26E-31
IGLV2-14	5.897328614	7.6359741	1.738645486	1.67E-33	3.49E-33
RP6-159A1.4	3.16549423	0.828280839	-2.337213391	9.13E-115	2.88E-113
MSL3P1	0.371606408	1.967050956	1.595444548	2.85E-107	5.41E-106
VIPR1	6.775264889	2.487707043	-4.287557846	6.20E-129	1.46E-126
RASSF2	4.225340583	2.647897867	-1.577442716	1.75E-114	5.41E-113
RPA3	3.823530247	5.080127428	1.256597181	1.39E-101	1.95E-100
CA4	5.81341971	1.134723729	-4.678695981	7.31E-132	5.59E-129
ARSE	1.022192361	3.230807829	2.208615468	2.15E-69	9.91E-69
SLC9A7	0.978430216	2.116807476	1.13837726	1.95E-106	3.51E-105
NLRP1	4.787264664	2.902496682	-1.884767982	7.12E-102	1.01E-100
ZNF662	2.095743448	1.063967696	-1.031775753	9.83E-75	5.28E-74
LRP1	6.810168347	5.238612154	-1.571556193	8.83E-116	3.09E-114
DDR2	3.452096124	2.00836208	-1.443734045	5.35E-101	7.27E-100
RP11-498C9.13	0.389808101	1.856576146	1.466768045	1.22E-36	2.69E-36
FUT8	2.836106737	4.479340412	1.643233676	3.57E-111	8.91E-110
FAM95B1	1.941490218	0.52924046	-1.412249758	2.75E-97	3.16E-96
ENO1	8.530463096	9.989413217	1.458950121	2.38E-105	4.07E-104
KLF4	6.051264288	3.33811042	-2.713153868	7.82E-118	3.19E-116
KCNA5	1.317831973	0.278691505	-1.039140468	2.61E-104	4.21E-103
LINC01001	4.516406246	3.474428293	-1.041977953	8.06E-49	2.28E-48
AC005255.3	0.680569027	2.637493405	1.956924378	2.59E-104	4.19E-103
LTK	3.311590942	1.713485829	-1.598105113	2.30E-54	7.33E-54
ANKRD20A17P	1.283171648	0.252476	-1.030695647	5.89E-107	1.10E-105
RP11-34P13.16	4.383927732	2.843228559	-1.540699173	8.52E-55	2.74E-54
ARNTL	4.07747713	2.762580045	-1.314897085	4.85E-89	4.10E-88
SRRM2	8.725851653	7.353176023	-1.37267563	6.64E-76	3.70E-75
TMEM182	0.790169657	2.244051307	1.45388165	2.14E-132	2.18E-129
PC	2.642590716	3.921547176	1.27895646	5.02E-87	3.93E-86
DCAF13	3.36066678	4.779895403	1.419228623	7.74E-114	2.27E-112
SLC22A15	2.331471467	1.290441219	-1.041030248	1.00E-86	7.75E-86
PROC	0.433276869	1.560163126	1.126886257	1.18E-60	4.36E-60
SMAD6	4.576457944	2.112793415	-2.46366453	1.67E-107	3.24E-106
RP11-927P21.5	3.713179604	2.121738734	-1.591440869	1.84E-69	8.49E-69
TMPRSS4	1.10556066	5.01458076	3.9090201	2.58E-113	7.34E-112
AC068580.5	1.306410942	0.30467829	-1.001732652	1.23E-53	3.85E-53
MRPS16	4.778862266	5.959327894	1.180465628	4.35E-112	1.16E-110
OR7E47P	4.237117349	1.674011398	-2.56310595	5.27E-125	5.44E-123
S100A3	3.184609208	1.416919189	-1.767690019	1.63E-84	1.17E-83
P2RX2	1.629395367	0.243311462	-1.386083905	1.09E-103	1.69E-102
IZUMO1	1.552696236	0.159094712	-1.393601524	1.28E-107	2.51E-106
TJP2	5.25742637	4.219101341	-1.038325029	5.04E-87	3.94E-86
NPR3	2.936749294	1.769884976	-1.166864318	7.19E-65	2.97E-64
DLGAP5	0.534850785	2.384021919	1.849171134	3.04E-113	8.61E-112
IFITM2	9.494352292	7.972255211	-1.52209708	6.98E-90	6.05E-89
PSTPIP1	3.737453491	2.660421978	-1.077031512	4.18E-51	1.24E-50
RCC1	3.326153011	4.771641011	1.445488	2.02E-112	5.46E-111
RHOJ	3.863442176	1.946933673	-1.916508503	1.04E-127	1.99E-125
CRIM1	5.116900344	3.671648358	-1.445251985	1.22E-97	1.43E-96
PDIA4	5.364205041	7.213847362	1.84964232	1.67E-120	8.82E-119
IGKV1-33	4.820350244	7.449612421	2.629262177	3.57E-59	1.27E-58
IGKV3-20	6.374910689	8.968378823	2.593468134	4.74E-61	1.77E-60
CASS4	3.309832232	1.7119979	-1.597834333	4.35E-99	5.45E-98
EGFL8	3.713571597	1.790273675	-1.923297923	1.27E-98	1.54E-97
ITIH5	3.642694576	1.900258103	-1.742436472	9.71E-85	7.04E-84
ADGRL2	5.790751991	3.148528889	-2.642223102	1.44E-126	2.10E-124
RACGAP1	2.475581066	3.6209989	1.145417834	6.56E-74	3.42E-73
F2RL3	3.831844654	1.202571892	-2.629272762	3.49E-102	5.04E-101
MYOC	1.913600563	0.123852394	-1.78974817	5.86E-124	4.91E-122
RP4-765C7.2	1.749335987	0.48366726	-1.265668728	5.31E-09	6.87E-09
FCGBP	1.255071719	2.340933523	1.085861805	6.92E-27	1.28E-26
PLIN4	1.561320207	0.404822851	-1.156497356	2.70E-93	2.64E-92
TTK	0.500504501	1.887879536	1.387375035	3.66E-103	5.55E-102
DRAIC	0.43281583	1.842323557	1.409507727	1.21E-35	2.62E-35
MPO	1.786547196	0.234003945	-1.552543251	1.41E-97	1.64E-96
AOC4P	1.893803337	0.256617982	-1.637185354	5.36E-121	2.97E-119
IGLV3-1	4.456538488	6.872072009	2.415533522	2.71E-51	8.07E-51
PDZD4	2.149235394	0.827404689	-1.321830705	1.10E-92	1.05E-91
PTX3	4.008723624	0.915446255	-3.093277369	1.32E-107	2.57E-106
IGLV3-21	3.727008741	6.069526565	2.342517824	1.70E-50	4.98E-50
MMP15	2.963330791	4.288643943	1.325313152	2.99E-78	1.79E-77
IGHV2-5	3.400359166	5.101583229	1.701224063	8.31E-31	1.65E-30
MYEOV	0.3713513	2.367501975	1.996150674	2.60E-76	1.47E-75
USHBP1	3.169996967	0.949412894	-2.220584074	4.39E-129	1.07E-126
GYPC	6.238745785	4.128893488	-2.109852297	6.82E-130	2.28E-127
REC8	4.602010317	3.137011575	-1.464998743	4.00E-68	1.79E-67
RP4-635E18.8	3.494837752	2.08659547	-1.408242282	1.33E-75	7.37E-75
FOXA3	0.26740275	1.753584985	1.486182235	2.31E-85	1.71E-84
PPP1R14A	6.473783963	3.295280115	-3.178503848	2.20E-126	3.10E-124
CNTFR	1.621385868	0.269043959	-1.352341908	1.79E-114	5.53E-113
RP11-802E16.3	2.996225102	1.678642495	-1.317582607	1.44E-61	5.44E-61
F10	3.404548669	1.41494085	-1.989607819	1.61E-113	4.63E-112
MACC1	1.65149311	2.805302072	1.153808962	3.41E-54	1.08E-53
SMIM22	4.278707196	7.301129994	3.022422799	8.59E-109	1.82E-107
MMRN2	4.325193545	2.557623073	-1.767570471	2.23E-121	1.30E-119
ITPR1	4.144177131	3.003089419	-1.141087712	1.13E-87	9.05E-87
DPP3	3.989210103	5.095483846	1.106273743	2.97E-94	2.99E-93
IGHV2-70	2.110962925	3.734048769	1.623085844	1.23E-32	2.53E-32
LINC00961	1.788813734	0.576083935	-1.212729799	6.03E-105	1.01E-103
FAM83H	2.728833814	4.342000788	1.613166975	5.53E-103	8.27E-102
FIBIN	4.068150537	2.015005143	-2.053145394	9.06E-90	7.82E-89
TNFRSF14	6.738431777	5.177136771	-1.561295006	6.01E-90	5.23E-89
CD1A	0.440071067	1.607835872	1.167764805	1.67E-49	4.77E-49
RP4-737E23.6	1.17505793	0.107952387	-1.067105543	6.18E-126	7.72E-124
TSPAN32	2.525597334	1.072883821	-1.452713513	3.81E-99	4.79E-98
CYBRD1	6.044345221	4.573681419	-1.470663802	7.31E-78	4.32E-77
TACO1	2.953313166	4.021561872	1.068248707	2.96E-108	6.07E-107
HSPA12B	3.864940264	1.350695446	-2.514244819	1.49E-130	6.53E-128
FAM162B	3.377201791	1.47219316	-1.905008631	1.48E-108	3.09E-107
WISP2	6.223234194	2.657887917	-3.565346278	2.06E-124	1.90E-122
N4BP2L1	4.516821104	2.941563945	-1.575257159	3.04E-113	8.61E-112
LAMP5	0.628641572	1.696788751	1.068147179	1.79E-70	8.51E-70
PITX1	0.322811928	2.282539377	1.959727449	2.20E-88	1.81E-87
RHBDF1	5.587751625	4.36227563	-1.225475995	1.71E-58	5.99E-58
FABP5	6.552801403	5.361824367	-1.190977036	2.57E-45	6.77E-45
ALS2CL	5.049600907	3.138602209	-1.910998698	2.51E-97	2.89E-96
TMSB15A	2.071236026	0.843904621	-1.227331405	8.39E-75	4.52E-74
KCTD15	3.94416618	2.390415043	-1.553751137	6.12E-95	6.33E-94
NRBP2	5.02320484	3.439896556	-1.583308284	4.92E-81	3.21E-80
IGKV2D-29	2.111905343	4.094080812	1.982175468	5.84E-42	1.43E-41
TSPAN5	2.063407	3.172471256	1.109064255	3.42E-71	1.66E-70
PLAC8	5.063570774	3.94041195	-1.123158824	1.76E-37	3.96E-37
TCEB1P19	2.297869265	1.199640151	-1.098229114	5.29E-73	2.69E-72
TEAD4	4.089310454	3.011407013	-1.077903441	2.05E-74	1.09E-73
CXCL9	2.43046117	4.227642903	1.797181733	2.62E-44	6.75E-44
DPY19L1	3.253882072	4.310858643	1.056976572	7.22E-74	3.77E-73
IGLC2	8.755619169	11.07758643	2.321967263	1.35E-55	4.43E-55
AKR1B10	0.328292328	2.402770134	2.074477805	9.78E-45	2.54E-44
SLC27A3	5.858660512	4.801051888	-1.057608624	6.43E-57	2.16E-56
ITGA10	3.489757118	0.837207187	-2.652549931	1.15E-117	4.64E-116
DEFA1B	5.379438391	0.30473383	-5.074704561	1.19E-123	9.70E-122
AL162151.3	6.526465166	5.019546037	-1.506919129	1.76E-09	2.31E-09
TNS4	0.575957977	2.18162933	1.605671353	6.35E-59	2.24E-58
DOCK9	6.074247259	4.78025716	-1.293990098	1.81E-83	1.26E-82
CAMP	1.920116337	0.641186049	-1.278930288	4.31E-82	2.89E-81
OR2I1P	0.724481108	1.961077677	1.236596569	1.01E-52	3.09E-52
ADRB1	3.17599168	0.874035816	-2.301955864	1.34E-119	6.49E-118
EHBP1L1	5.829630927	4.608492794	-1.221138133	6.22E-67	2.70E-66
PLSCR4	4.519955978	2.956959026	-1.562996952	3.14E-109	6.85E-108
PCDH12	3.106768832	1.774299128	-1.332469704	3.09E-98	3.69E-97
ERBB3	4.239650152	5.783591758	1.543941606	1.02E-90	9.06E-90
AC007009.1	1.267596146	2.284936038	1.017339893	7.69E-45	2.00E-44
SATB1	3.618984788	2.519710915	-1.099273873	4.56E-80	2.90E-79
REEP6	1.264562451	3.145503481	1.88094103	3.96E-86	3.01E-85
RP11-403A3.3	1.654708321	0.155361017	-1.499347304	1.92E-123	1.49E-121
TGM1	2.368897675	0.968308336	-1.400589339	4.62E-108	9.31E-107
IGSF10	4.285652052	1.119884079	-3.165767973	6.09E-129	1.45E-126
SOX2	0.736299194	2.259877714	1.52357852	1.28E-45	3.40E-45
SNRPE	5.628215947	6.98468237	1.356466424	8.16E-120	4.05E-118
BEAN1	0.863437641	2.113266007	1.249828366	4.70E-63	1.85E-62
SPRY1	5.475519474	4.414779553	-1.060739921	5.80E-59	2.05E-58
ST6GALNAC6	6.028824127	4.592421739	-1.436402388	8.52E-122	5.20E-120
FABP4	6.437631569	2.319739531	-4.117892039	1.35E-118	5.94E-117
DDX3Y	3.294301587	1.575211352	-1.719090235	3.91E-41	9.42E-41
DEFA3	4.263334316	0.214513159	-4.048821157	4.96E-121	2.77E-119
ELN	7.117519336	4.469267066	-2.64825227	4.35E-91	3.93E-90
MAFG-AS1	1.094369417	2.241883446	1.147514029	2.85E-93	2.79E-92
CGREF1	0.79649371	1.905627602	1.109133892	1.02E-39	2.40E-39
HERC2P3	3.882455289	2.432097236	-1.450358053	4.55E-61	1.70E-60
FBLN5	6.843510355	4.071153716	-2.772356638	2.52E-124	2.27E-122
HMGN2P15	2.357116077	0.690505707	-1.66661037	3.72E-100	4.87E-99
P4HA1	4.137920151	5.187063891	1.049143741	2.18E-78	1.31E-77
TNFRSF11B	2.771363931	1.732019919	-1.039344012	3.05E-39	7.10E-39
RP11-448G15.3	1.784448887	0.518879403	-1.265569484	1.93E-101	2.68E-100
SGCG	1.772752002	0.250909569	-1.521842433	1.02E-122	7.05E-121
TMEM14A	3.485683995	4.828299083	1.342615088	1.54E-104	2.52E-103
RPL37	9.843542795	10.90732328	1.063780483	7.61E-99	9.40E-98
HDAC7	6.099964812	4.757007077	-1.342957735	3.26E-102	4.70E-101
FYN	6.036741457	4.415973216	-1.62076824	2.23E-103	3.42E-102
FAM179A	2.594613697	1.050850292	-1.543763405	3.42E-73	1.75E-72
ARHGEF2	6.25356351	5.185296079	-1.068267431	2.32E-85	1.72E-84
ADRA2C	1.797551569	0.672374246	-1.125177323	3.87E-88	3.15E-87
PRSS22	3.111261916	4.167054462	1.055792546	3.32E-40	7.86E-40
CCRL2	3.38880929	2.258450711	-1.130358579	1.93E-73	9.93E-73
HPN	3.557629952	4.602586936	1.044956984	8.97E-31	1.78E-30
STK39	2.730658659	4.185014737	1.454356078	2.06E-108	4.27E-107
HTR3A	0.093547723	1.420424432	1.326876708	2.29E-101	3.17E-100
TOP2A	1.504044609	4.303961786	2.799917178	5.58E-115	1.80E-113
TMEM2	6.034942147	4.815893561	-1.219048586	3.34E-85	2.46E-84
HOTAIRM1	4.302885792	2.133005121	-2.169880671	1.23E-87	9.84E-87
ENTPD8	0.130681844	1.26493719	1.134255347	4.69E-104	7.46E-103
IGHV3-11	3.142765304	5.383283989	2.240518685	1.79E-53	5.59E-53
JUND	7.133414064	5.899897895	-1.23351617	5.85E-76	3.27E-75
TACC1	5.914135305	3.905217361	-2.008917944	2.13E-124	1.95E-122
RPPH1	1.995186784	3.143504046	1.148317262	5.91E-35	1.27E-34
CH17-212P11.4	0.223177995	1.453229008	1.230051014	6.05E-75	3.28E-74
DSP	2.312643584	4.821192584	2.508549001	3.35E-99	4.22E-98
FGL1	0.734019596	2.606440489	1.872420893	6.58E-30	1.28E-29
SKA1	0.345954715	1.434860321	1.088905606	2.79E-101	3.85E-100
ATP1A2	2.336777347	0.478386884	-1.858390463	3.08E-122	1.96E-120
PAEP	0.255536302	3.042625084	2.787088782	6.68E-75	3.61E-74
ABR	5.82735909	4.759417807	-1.067941283	7.55E-94	7.50E-93
SLC25A27	3.965309251	1.772552929	-2.192756322	2.42E-94	2.44E-93
NCAPH	0.887719517	2.678032258	1.790312742	5.25E-109	1.13E-107
ARHGEF16	2.319068764	3.692024358	1.372955595	1.82E-103	2.80E-102
TPSB2	6.296635367	4.404278293	-1.892357074	3.93E-56	1.30E-55
ZYX	7.826588297	6.331060474	-1.495527823	2.89E-115	9.58E-114
EMP1	6.807278419	5.427427337	-1.379851081	9.06E-67	3.93E-66
SLC52A3	0.851109356	2.078275836	1.22716648	5.00E-82	3.35E-81
LGR4	1.732536764	3.585710328	1.853173564	8.09E-115	2.58E-113
LILRA5	3.872839638	1.688505892	-2.184333746	1.80E-110	4.30E-109
PLA2G4C	3.99383121	2.442390868	-1.551440341	1.65E-86	1.27E-85
GFPT2	3.9394242	2.357770515	-1.581653685	4.96E-65	2.05E-64
SHE	3.937024406	2.373454272	-1.563570134	2.15E-70	1.02E-69
PLA2G4A	2.228803533	3.47632833	1.247524797	2.14E-36	4.70E-36
PILRA	4.467625715	3.379099323	-1.088526392	2.05E-64	8.32E-64
IGHV3-20	0.766440215	1.92104998	1.154609765	2.56E-27	4.77E-27
DEPDC1	0.264751977	1.558933227	1.29418125	3.56E-112	9.51E-111
KIAA1683	2.034149778	0.931970273	-1.102179505	3.42E-60	1.25E-59
ARL1	4.483394153	5.509411721	1.026017568	1.04E-107	2.05E-106
LTB	3.010697717	4.10086566	1.090167943	1.36E-36	3.00E-36
RP11-73M18.10	2.746699642	1.679626367	-1.067073275	2.72E-83	1.89E-82
CHMP4C	2.10727515	3.805479964	1.698204815	4.57E-113	1.28E-111
FAM83A	0.281677307	4.524540475	4.242863168	3.05E-130	1.22E-127
DENND5A	5.653804475	4.639245213	-1.014559262	1.51E-106	2.75E-105
SUN2	6.547316345	5.250769947	-1.296546398	3.80E-113	1.07E-111
SYNPO	5.754516695	4.20081219	-1.553704504	5.68E-112	1.49E-110
ALDH1B1	2.575724073	3.636362696	1.060638623	6.84E-73	3.46E-72
TSPAN1	4.134604412	5.585805322	1.45120091	4.81E-29	9.25E-29
SNX22	3.034565719	1.319289776	-1.715275944	6.64E-113	1.84E-111
CTB-191K22.5	3.206913521	4.298154401	1.09124088	9.59E-30	1.87E-29
EXOC3L1	3.181884668	1.59043845	-1.591446219	3.36E-111	8.40E-110
SLC39A11	2.95600361	4.731126774	1.775123163	1.74E-129	4.90E-127
LAIR1	5.324301515	4.168469466	-1.155832049	2.77E-59	9.89E-59
PTPRG	3.559962153	2.487361842	-1.072600311	1.81E-73	9.34E-73
HN1L	3.947772838	5.567761201	1.619988363	1.46E-125	1.67E-123
SMIM15	3.472409242	4.957541848	1.485132605	3.92E-122	2.46E-120
CENPA	0.637392878	2.478889117	1.841496239	9.53E-109	2.01E-107
